driver_id,driver_type,day,duty_id,duty_start,duty_end,tour_ids,work_min,hours,days_worked
D_PT062,PT,0,seed_s_T_0_510_3,510,780,T_0_510_3,270,4.5,1
D_PT063,PT,0,seed_s_T_0_510_5,510,780,T_0_510_5,270,4.5,1
D_PT064,PT,0,seed_s_T_0_525_2,525,795,T_0_525_2,270,4.5,1
D_PT065,PT,0,seed_s_T_0_525_3,525,795,T_0_525_3,270,4.5,1
D_PT066,PT,0,seed_s_T_0_525_6,525,795,T_0_525_6,270,4.5,1
D_PT067,PT,0,seed_s_T_0_525_7,525,795,T_0_525_7,270,4.5,1
D_PT068,PT,0,seed_s_T_0_525_8,525,795,T_0_525_8,270,4.5,1
D_PT069,PT,0,seed_s_T_0_525_9,525,795,T_0_525_9,270,4.5,1
D_PT070,PT,0,seed_s_T_0_555_1,555,825,T_0_555_1,270,4.5,1
D_PT071,PT,0,seed_s_T_0_555_3,555,825,T_0_555_3,270,4.5,1
D_PT072,PT,0,seed_s_T_0_570_1,570,840,T_0_570_1,270,4.5,1
D_PT073,PT,0,seed_s_T_0_570_2,570,840,T_0_570_2,270,4.5,1
D_PT074,PT,0,seed_s_T_0_585_1,585,855,T_0_585_1,270,4.5,1
D_PT075,PT,0,seed_s_T_0_585_3,585,855,T_0_585_3,270,4.5,1
D_PT076,PT,0,seed_s_T_0_585_9,585,855,T_0_585_9,270,4.5,1
D_PT077,PT,0,seed_s_T_0_600_1,600,870,T_0_600_1,270,4.5,1
D_PT078,PT,0,seed_s_T_0_615_3,615,885,T_0_615_3,270,4.5,1
D_PT079,PT,0,seed_s_T_0_630_2,630,900,T_0_630_2,270,4.5,1
D_PT080,PT,0,seed_s_T_0_630_3,630,900,T_0_630_3,270,4.5,1
D_PT081,PT,0,seed_s_T_0_645_2,645,915,T_0_645_2,270,4.5,1
D_PT082,PT,0,seed_s_T_0_660_4,660,930,T_0_660_4,270,4.5,1
D_PT083,PT,0,seed_s_T_0_660_5,660,930,T_0_660_5,270,4.5,1
D_PT084,PT,0,seed_s_T_0_675_1,675,945,T_0_675_1,270,4.5,1
D_PT085,PT,0,seed_s_T_0_675_2,675,945,T_0_675_2,270,4.5,1
D_PT086,PT,0,seed_s_T_0_675_3,675,945,T_0_675_3,270,4.5,1
D_PT087,PT,0,seed_s_T_0_690_1,690,960,T_0_690_1,270,4.5,1
D_PT088,PT,0,seed_s_T_0_690_2,690,960,T_0_690_2,270,4.5,1
D_PT089,PT,0,seed_s_T_0_690_3,690,960,T_0_690_3,270,4.5,1
D_PT090,PT,0,seed_s_T_0_690_4,690,960,T_0_690_4,270,4.5,1
D_PT091,PT,0,seed_s_T_0_690_7,690,960,T_0_690_7,270,4.5,1
D_PT092,PT,0,seed_s_T_0_690_9,690,960,T_0_690_9,270,4.5,1
D_PT093,PT,0,seed_s_T_0_690_10,690,960,T_0_690_10,270,4.5,1
D_PT094,PT,0,seed_s_T_0_690_11,690,960,T_0_690_11,270,4.5,1
